id_departamento;nome_departamento
672;CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA
673;CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA
640;CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL - BRASÍLIA
314;CENTRO DE EXCELÊNCIA EM TURISMO - BRASÍLIA
650;CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN - BRASÍLIA
316;CENTRO INTEGRADO ORDENAMENTO TERRITORIAL - BRASÍLIA
1448;CENTRO INTERNACIONAL DE BIOÉTICA E HUMANIDADES - BRASÍLIA
677;CENTRO UNB CERRADO - BRASÍLIA
130;DECANATO DE ENSINO DE GRADUACAO / DEG - BRASÍLIA
170;DECANATO DE PÓS-GRADUAÇÃO / DPG - BRASÍLIA
158;DECANATO EXTENSÃO - BRASÍLIA
351;DEPARTAMENTO DE AUDIOVISUAIS E PUBLICIDADE/DAP - BRASÍLIA
345;DEPARTAMENTO DE COMUNICAÇÃO ORGANIZACIONAL/COM - BRASÍLIA
660;DEPARTAMENTO DE DESIGN (11.01.01.14.04) - BRASÍLIA
449;DEPARTAMENTO DE ENGENHARIA MECANICA - BRASÍLIA
479;DEPARTAMENTO DE ESTUDOS LATINO AMERICANO - BRASÍLIA
678;DEPARTAMENTO DE FARMACIA - BRASÍLIA
791;DEPARTAMENTO DE GESTAO DE POLITICAS PUBL - BRASÍLIA
352;DEPARTAMENTO DE JORNALISMO/JOR - BRASÍLIA
518;DEPARTAMENTO DE MATEMÁTICA - BRASÍLIA
390;DEPARTAMENTO DE MÉTODOS E TÉCNICAS - BRASÍLIA
391;DEPARTAMENTO DE POLÍTICAS PÚBLICAS E GESTÃO DA EDUCAÇÃO - BRASÍLIA
592;DEPARTAMENTO DE PSICOLOGIA CLÍNICA - BRASÍLIA
483;DEPARTAMENTO DE SOCIOLOGIA - BRASÍLIA
392;DEPARTAMENTO DE TEORIA E FUNDAMENTOS - BRASÍLIA
327;DEPTO ADMINISTRAÇÃO - BRASÍLIA
481;DEPTO ANTROPOLOGIA - BRASÍLIA
492;DEPTO ARTES CÊNICAS - BRASÍLIA
498;DEPTO ARTES VISUAIS - BRASÍLIA
464;DEPTO BIOLOGIA CELULAR - BRASÍLIA
462;DEPTO BOTÂNICA - BRASÍLIA
333;DEPTO CIÊNCIAS CONTÁBEIS ATUARIAIS - BRASÍLIA
508;DEPTO CIÊNCIAS DA COMPUTAÇÃO - BRASÍLIA
466;DEPTO CIÊNCIAS FISIOLÓGICAS - BRASÍLIA
337;DEPTO CIÊNCIAS INFORMAÇÃO DOCUMENTAÇÃO - BRASÍLIA
467;DEPTO ECOLOGIA - BRASÍLIA
548;DEPTO ECONOMIA - BRASÍLIA
422;DEPTO ENFERMAGEM - BRASÍLIA
437;DEPTO ENGENHARIA CIVIL E AMBIENTAL - BRASÍLIA
760;DEPTO ENGENHARIA DE PRODUCAO - BRASÍLIA
443;DEPTO ENGENHARIA ELETRICA - BRASÍLIA
433;DEPTO ENGENHARIA FLORESTAL - BRASÍLIA
514;DEPTO ESTATÍSTICA - BRASÍLIA
552;DEPTO FILOSOFIA - BRASÍLIA
469;DEPTO FITOPATOLOGIA - BRASÍLIA
471;DEPTO GENÉTICA E MORFOLOGIA - BRASÍLIA
555;DEPTO GEOGRAFIA - BRASÍLIA
539;DEPTO GEOLOGIA GERAL APLICADA - BRASÍLIA
541;DEPTO GEOQUÍMICA E RECURSOS MINERAIS - BRASÍLIA
559;DEPTO HISTÓRIA - BRASÍLIA
578;DEPTO LINGUISTICA, PORT. LING. CLASSICAS - BRASÍLIA
574;DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO - BRASÍLIA
540;DEPTO MINERALOGIA E PETROLOGIA - BRASÍLIA
495;DEPTO MÚSICA - BRASÍLIA
424;DEPTO NUTRICAO - BRASÍLIA
427;DEPTO ODONTOLOGIA - BRASÍLIA
594;DEPTO PROCESSOS PSICOLÓGICOS BÁSICOS - BRASÍLIA
360;DEPTO PROJETOS EXPRES REPRES ARQ E URBAN - BRASÍLIA
593;DEPTO PSICOLOGIA ESCOLAR DESENVOLVIMENTO - BRASÍLIA
596;DEPTO PSICOLOGIA SOCIAL E DO TRABALHO - BRASÍLIA
420;DEPTO SAUDE COLETIVA - BRASÍLIA
563;DEPTO SERVIÇO SOCIAL - BRASÍLIA
361;DEPTO TECNOLOGIA ARQUITETURA URBANISMO - BRASÍLIA
362;DEPTO TEORIA HISTORIA ARQUIT E URBANISM - BRASÍLIA
580;DEPTO TEORIA LITERÁRIA E LITERATURA - BRASÍLIA
472;DEPTO ZOOLOGIA - BRASÍLIA
643;DIRETORIA DO CENTRO DE APOIO AO DESENVOLVIMENTO TECNOLÓGICO - BRASÍLIA
363;FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA - BRASÍLIA
353;FACULDADE DE ARQUITETURA E URBANISMO - BRASÍLIA
674;FACULDADE DE CIÊNCIA DA INFORMAÇÃO - BRASÍLIA
410;FACULDADE DE CIÊNCIAS DA SAÚDE - BRASÍLIA
343;FACULDADE DE COMUNICAÇÃO - BRASÍLIA
370;FACULDADE DE DIREITO - BRASÍLIA
381;FACULDADE DE EDUCAÇÃO - BRASÍLIA
393;FACULDADE DE EDUCAÇÃO FÍSICA - BRASÍLIA
402;FACULDADE DE MEDICINA - BRASÍLIA
666;FACULDADE DE PLANALTINA - BRASÍLIA
429;FACULDADE DE TECNOLOGIA - BRASÍLIA
323;FACULDADE ECONOMIA,  ADMINISTRAÇÃO,  CONTABILIDADE E  GEST POL PÚBLICAS - BRASÍLIA
288;HOSP-HOSPITAL UNIVERSITÁRIO DE BRASÍLIA - BRASÍLIA
485;INSTITUTO DE ARTES - BRASÍLIA
668;INSTITUTO DE CIÊNCIA POLÍTICA - BRASÍLIA
455;INSTITUTO DE CIÊNCIAS BIOLÓGICAS - BRASÍLIA
504;INSTITUTO DE CIÊNCIAS EXATAS - BRASÍLIA
544;INSTITUTO DE CIÊNCIAS HUMANAS - BRASÍLIA
473;INSTITUTO DE CIÊNCIAS SOCIAIS - BRASÍLIA
524;INSTITUTO DE FÍSICA - BRASÍLIA
533;INSTITUTO DE GEOCIÊNCIAS - BRASÍLIA
567;INSTITUTO DE LETRAS - BRASÍLIA
583;INSTITUTO DE PSICOLOGIA - BRASÍLIA
610;INSTITUTO DE QUÍMICA - BRASÍLIA
669;INSTITUTO DE RELAÇÕES INTERNACIONAIS - BRASÍLIA
542;OBSERVATÓRIO SISMOLÓGICO - BRASÍLIA
1080;PARQUE CIENTÍFICO E TECNOLÓGICO DA UNB - BRASÍLIA
1615;PARQUE DE INOVAÇÃO E SUSTENTABILIDADE DO AMBIENTE CONSTRUÍDO - BRASÍLIA
69;REITORIA - BRASÍLIA
140;SECRETARIA DE ADMINISTRACAO ACADEMICA - BRASÍLIA
